YEAR,MEAN_WUENIC_COVERAGE
1980,53.44396551724138
1981,52.54340277777778
1982,54.7275641025641
1983,56.89290882778582
1984,58.65135135135135
1985,62.41161290322581
1986,67.2093316519546
1987,70.79012345679013
1988,74.64677222898904
1989,78.53623188405797
1990,81.63139120095124
1991,80.07603686635944
1992,80.30461538461539
1993,80.85952848722987
1994,81.7719806763285
1995,83.17313150425733
1996,83.75443510737628
1997,83.65363636363637
1998,83.49203539823009
1999,83.82155172413793
2000,84.01243201243201
2001,84.62192393736018
2002,85.0343347639485
2003,85.36161335187761
2004,86.13297150610583
2005,86.92353723404256
2006,87.591796875
2007,87.95216836734694
2008,87.7437965260546
2009,87.5968899521531
2010,87.57009345794393
2011,87.91619156214367
2012,87.96713091922005
2013,87.7746863066012
2014,86.77118644067797
2015,85.68734852157053
2016,86.44172932330827
2017,86.08999081726354
2018,86.36273627362736
2019,86.93066666666667
2020,84.75319524019392
2021,82.85689948892674
2022,83.49580888516346
2023,84.13471933471934
