YEAR,DISEASE,DISEASE_DESCRIPTION,CASES
1980,DIPHTHERIA,Diphtheria,97167.0
1980,MEASLES,Measles,3855586.0
1980,NTETANUS,Neonatal tetanus,13005.0
1980,PERTUSSIS,Pertussis,1968457.0
1980,POLIO,Poliomyelitis,52632.0
1980,TTETANUS,Total tetanus,113961.0
1980,YFEVER,Yellow fever,144.0
1981,DIPHTHERIA,Diphtheria,74098.0
1981,MEASLES,Measles,4080125.0
1981,NTETANUS,Neonatal tetanus,13286.0
1981,PERTUSSIS,Pertussis,1795654.0
1981,POLIO,Poliomyelitis,65740.0
1981,TTETANUS,Total tetanus,105704.0
1981,YFEVER,Yellow fever,238.0
1982,DIPHTHERIA,Diphtheria,60043.0
1982,MEASLES,Measles,3628379.0
1982,NTETANUS,Neonatal tetanus,18009.0
1982,PERTUSSIS,Pertussis,1814207.0
1982,POLIO,Poliomyelitis,51634.0
1982,TTETANUS,Total tetanus,115467.0
1982,YFEVER,Yellow fever,171.0
1983,DIPHTHERIA,Diphtheria,49797.0
1983,MEASLES,Measles,3588438.0
1983,NTETANUS,Neonatal tetanus,15870.0
1983,PERTUSSIS,Pertussis,1362706.0
1983,POLIO,Poliomyelitis,39974.0
1983,TTETANUS,Total tetanus,99102.0
1983,YFEVER,Yellow fever,793.0
1984,DIPHTHERIA,Diphtheria,45235.0
1984,MEASLES,Measles,3028075.0
1984,NTETANUS,Neonatal tetanus,18483.0
1984,PERTUSSIS,Pertussis,1025949.0
1984,POLIO,Poliomyelitis,35084.0
1984,TTETANUS,Total tetanus,89642.0
1984,YFEVER,Yellow fever,1012.0
1985,DIPHTHERIA,Diphtheria,42335.0
1985,MEASLES,Measles,2822189.0
1985,NTETANUS,Neonatal tetanus,17438.0
1985,PERTUSSIS,Pertussis,1007867.0
1985,POLIO,Poliomyelitis,38484.0
1985,TTETANUS,Total tetanus,104586.0
1985,YFEVER,Yellow fever,138.0
1986,DIPHTHERIA,Diphtheria,29132.0
1986,MEASLES,Measles,2080023.0
1986,NTETANUS,Neonatal tetanus,20395.0
1986,PERTUSSIS,Pertussis,835454.0
1986,POLIO,Poliomyelitis,32846.0
1986,TTETANUS,Total tetanus,85894.0
1986,YFEVER,Yellow fever,1477.0
1987,DIPHTHERIA,Diphtheria,27754.0
1987,MEASLES,Measles,1684364.0
1987,NTETANUS,Neonatal tetanus,18986.0
1987,PERTUSSIS,Pertussis,688446.0
1987,POLIO,Poliomyelitis,39683.0
1987,TTETANUS,Total tetanus,75942.0
1987,YFEVER,Yellow fever,3247.0
1988,DIPHTHERIA,Diphtheria,31526.0
1988,MEASLES,Measles,1667784.0
1988,NTETANUS,Neonatal tetanus,31886.0
1988,PERTUSSIS,Pertussis,523602.0
1988,POLIO,Poliomyelitis,34617.0
1988,TTETANUS,Total tetanus,73325.0
1988,YFEVER,Yellow fever,5344.0
1989,DIPHTHERIA,Diphtheria,29779.0
1989,MEASLES,Measles,1822811.0
1989,NTETANUS,Neonatal tetanus,29065.0
1989,PERTUSSIS,Pertussis,596515.0
1989,POLIO,Poliomyelitis,26104.0
1989,TTETANUS,Total tetanus,78700.0
1989,YFEVER,Yellow fever,3507.0
1990,DIPHTHERIA,Diphtheria,22134.0
1990,MEASLES,Measles,1325831.0
1990,NTETANUS,Neonatal tetanus,25293.0
1990,PERTUSSIS,Pertussis,442514.0
1990,POLIO,Poliomyelitis,23053.0
1990,TTETANUS,Total tetanus,64746.0
1990,YFEVER,Yellow fever,4339.0
1991,DIPHTHERIA,Diphtheria,24739.0
1991,MEASLES,Measles,1370650.0
1991,NTETANUS,Neonatal tetanus,23718.0
1991,PERTUSSIS,Pertussis,430515.0
1991,POLIO,Poliomyelitis,13274.0
1991,TTETANUS,Total tetanus,46304.0
1991,YFEVER,Yellow fever,2712.0
1992,DIPHTHERIA,Diphtheria,20851.0
1992,MEASLES,Measles,1481592.0
1992,NTETANUS,Neonatal tetanus,15829.0
1992,PERTUSSIS,Pertussis,255672.0
1992,POLIO,Poliomyelitis,15304.0
1992,TTETANUS,Total tetanus,39946.0
1992,YFEVER,Yellow fever,295.0
1993,DIPHTHERIA,Diphtheria,31243.0
1993,MEASLES,Measles,1144172.0
1993,NTETANUS,Neonatal tetanus,15985.0
1993,PERTUSSIS,Pertussis,237159.0
1993,POLIO,Poliomyelitis,10500.0
1993,TTETANUS,Total tetanus,42568.0
1993,YFEVER,Yellow fever,410.0
1994,DIPHTHERIA,Diphtheria,54817.0
1994,MEASLES,Measles,927437.0
1994,NTETANUS,Neonatal tetanus,12872.0
1994,PERTUSSIS,Pertussis,253831.0
1994,POLIO,Poliomyelitis,8666.0
1994,TTETANUS,Total tetanus,48152.0
1994,YFEVER,Yellow fever,1440.0
1995,DIPHTHERIA,Diphtheria,56965.0
1995,MEASLES,Measles,720453.0
1995,NTETANUS,Neonatal tetanus,10539.0
1995,PERTUSSIS,Pertussis,164989.0
1995,POLIO,Poliomyelitis,7043.0
1995,TTETANUS,Total tetanus,13047.0
1995,YFEVER,Yellow fever,1219.0
1996,DIPHTHERIA,Diphtheria,28624.0
1996,MEASLES,Measles,870748.0
1996,NTETANUS,Neonatal tetanus,13093.0
1996,PERTUSSIS,Pertussis,141443.0
1996,POLIO,Poliomyelitis,4070.0
1996,TTETANUS,Total tetanus,12562.0
1996,YFEVER,Yellow fever,439.0
1997,CRS,Congenital rubella syndrome,33.0
1997,DIPHTHERIA,Diphtheria,14767.0
1997,MEASLES,Measles,826553.0
1997,NTETANUS,Neonatal tetanus,15767.0
1997,PERTUSSIS,Pertussis,168249.0
1997,POLIO,Poliomyelitis,5186.0
1997,RUBELLA,Rubella,125056.0
1997,TTETANUS,Total tetanus,23159.0
1997,YFEVER,Yellow fever,193.0
1998,CRS,Congenital rubella syndrome,14.0
1998,DIPHTHERIA,Diphtheria,7442.0
1998,MEASLES,Measles,694564.0
1998,NTETANUS,Neonatal tetanus,16629.0
1998,PERTUSSIS,Pertussis,188993.0
1998,POLIO,Poliomyelitis,6347.0
1998,RUBELLA,Rubella,130569.0
1998,TTETANUS,Total tetanus,20479.0
1998,YFEVER,Yellow fever,309.0
1999,CRS,Congenital rubella syndrome,69.0
1999,DIPHTHERIA,Diphtheria,4810.0
1999,MEASLES,Measles,752592.0
1999,MUMPS,Mumps,558300.0
1999,NTETANUS,Neonatal tetanus,10986.0
1999,PERTUSSIS,Pertussis,116316.0
1999,POLIO,Poliomyelitis,7141.0
1999,RUBELLA,Rubella,875184.0
1999,TTETANUS,Total tetanus,15964.0
1999,YFEVER,Yellow fever,216.0
2000,CRS,Congenital rubella syndrome,158.0
2000,DIPHTHERIA,Diphtheria,11625.0
2000,MEASLES,Measles,853550.0
2000,MUMPS,Mumps,544754.0
2000,NTETANUS,Neonatal tetanus,17938.0
2000,PERTUSSIS,Pertussis,190522.0
