YEAR,DISEASE,DISEASE_DESCRIPTION,INCIDENCE_RATE
1980,DIPHTHERIA,Diphtheria,19.71941176470588
1980,MEASLES,Measles,3260.151234567901
1980,NTETANUS,Neonatal tetanus,0.1980392156862745
1980,PERTUSSIS,Pertussis,781.0072727272727
1980,POLIO,Poliomyelitis,
1980,TTETANUS,Total tetanus,40.9748502994012
1980,YFEVER,Yellow fever,1.3888888888888888
1981,DIPHTHERIA,Diphtheria,11.005172413793105
1981,MEASLES,Measles,2390.2171597633137
1981,NTETANUS,Neonatal tetanus,0.19230769230769232
1981,PERTUSSIS,Pertussis,649.2006060606061
1981,POLIO,Poliomyelitis,
1981,TTETANUS,Total tetanus,33.34702380952381
1981,YFEVER,Yellow fever,3.4714285714285715
1982,DIPHTHERIA,Diphtheria,11.422543352601156
1982,MEASLES,Measles,2261.033529411765
1982,NTETANUS,Neonatal tetanus,0.26747967479674795
1982,PERTUSSIS,Pertussis,568.3674556213018
1982,POLIO,Poliomyelitis,
1982,TTETANUS,Total tetanus,37.980232558139534
1982,YFEVER,Yellow fever,3.4000000000000004
1983,DIPHTHERIA,Diphtheria,8.217241379310344
1983,MEASLES,Measles,1956.8664705882352
1983,NTETANUS,Neonatal tetanus,0.23252032520325205
1983,PERTUSSIS,Pertussis,395.38823529411764
1983,POLIO,Poliomyelitis,
1983,TTETANUS,Total tetanus,29.117543859649125
1983,YFEVER,Yellow fever,9.95
1984,DIPHTHERIA,Diphtheria,8.428070175438597
1984,MEASLES,Measles,1717.089349112426
1984,NTETANUS,Neonatal tetanus,0.2198529411764706
1984,PERTUSSIS,Pertussis,419.50654761904764
1984,POLIO,Poliomyelitis,
1984,TTETANUS,Total tetanus,25.923076923076923
1984,YFEVER,Yellow fever,1.8666666666666667
1985,DIPHTHERIA,Diphtheria,7.92906976744186
1985,MEASLES,Measles,1985.5208333333333
1985,NTETANUS,Neonatal tetanus,0.2566433566433567
1985,PERTUSSIS,Pertussis,386.7360946745562
1985,POLIO,Poliomyelitis,
1985,TTETANUS,Total tetanus,34.66946107784431
1985,YFEVER,Yellow fever,1.8142857142857145
1986,DIPHTHERIA,Diphtheria,4.305882352941176
1986,MEASLES,Measles,1103.9857142857143
1986,NTETANUS,Neonatal tetanus,0.3046979865771812
1986,PERTUSSIS,Pertussis,237.24790419161678
1986,POLIO,Poliomyelitis,
1986,TTETANUS,Total tetanus,22.31437125748503
1986,YFEVER,Yellow fever,4.216666666666667
1987,DIPHTHERIA,Diphtheria,3.769942196531792
1987,MEASLES,Measles,1186.1331395348836
1987,NTETANUS,Neonatal tetanus,0.2614864864864865
1987,PERTUSSIS,Pertussis,187.42514619883042
1987,POLIO,Poliomyelitis,
1987,TTETANUS,Total tetanus,19.43941176470588
1987,YFEVER,Yellow fever,8.327272727272726
1988,DIPHTHERIA,Diphtheria,3.414705882352941
1988,MEASLES,Measles,869.7114285714285
1988,NTETANUS,Neonatal tetanus,0.20062893081761007
1988,PERTUSSIS,Pertussis,124.72690058479532
1988,POLIO,Poliomyelitis,
1988,TTETANUS,Total tetanus,22.450581395348838
1988,YFEVER,Yellow fever,7.777777777777778
1989,DIPHTHERIA,Diphtheria,5.110526315789474
1989,MEASLES,Measles,1550.6480000000001
1989,NTETANUS,Neonatal tetanus,0.22201257861635218
1989,PERTUSSIS,Pertussis,145.85823529411766
1989,POLIO,Poliomyelitis,
1989,TTETANUS,Total tetanus,17.645180722891567
1989,YFEVER,Yellow fever,5.054545454545455
1990,DIPHTHERIA,Diphtheria,2.070391061452514
1990,MEASLES,Measles,714.2191256830602
1990,NTETANUS,Neonatal tetanus,0.21515151515151515
1990,PERTUSSIS,Pertussis,240.1623595505618
1990,POLIO,Poliomyelitis,
1990,TTETANUS,Total tetanus,15.757055214723927
1990,YFEVER,Yellow fever,6.640000000000001
1991,DIPHTHERIA,Diphtheria,40.750574712643676
1991,MEASLES,Measles,743.2866310160429
1991,NTETANUS,Neonatal tetanus,0.11333333333333333
1991,PERTUSSIS,Pertussis,125.6517441860465
1991,POLIO,Poliomyelitis,
1991,TTETANUS,Total tetanus,8.466272189349112
1991,YFEVER,Yellow fever,3.146153846153846
1992,DIPHTHERIA,Diphtheria,4.35521472392638
1992,MEASLES,Measles,804.9953846153846
1992,NTETANUS,Neonatal tetanus,0.0984375
1992,PERTUSSIS,Pertussis,110.25889570552148
1992,POLIO,Poliomyelitis,
1992,TTETANUS,Total tetanus,7.862025316455696
1992,YFEVER,Yellow fever,0.85
1993,DIPHTHERIA,Diphtheria,2.922222222222222
1993,MEASLES,Measles,507.438578680203
1993,NTETANUS,Neonatal tetanus,0.10208333333333335
1993,PERTUSSIS,Pertussis,64.44878048780488
1993,POLIO,Poliomyelitis,
