CODE,NAME,MCV1_COVERAGE_2023,INCIDENCE_RATE
AZE,Azerbaijan,96.0,1280.0
KGZ,Kyrgyzstan,96.0,996.1
KAZ,Kazakhstan,99.0,743.3
ZWE,Zimbabwe,90.0,338.5
IRQ,Iraq,97.0,273.6
ZMB,Zambia,90.0,272.8
ARM,Armenia,96.0,188.2
TON,Tonga,99.0,114.7
RUS,Russian Federation,97.0,90.0
SLE,Sierra Leone,90.0,76.2
SAU,Saudi Arabia,97.0,67.8
GHA,Ghana,90.0,67.5
MRT,Mauritania,92.0,67.5
MYS,Malaysia,96.0,57.0
ARE,United Arab Emirates,98.0,45.5
IND,India,93.0,45.3
TZA,United Republic of Tanzania,91.0,43.3
QAT,Qatar,99.0,42.6
LKA,Sri Lanka,99.0,35.3
UZB,Uzbekistan,99.0,33.0
NPL,Nepal,93.0,32.4
BFA,Burkina Faso,94.0,29.5
TJK,Tajikistan,98.0,28.3
BWA,Botswana,97.0,25.4
BLR,Belarus,97.0,21.2
AUT,Austria,95.0,20.4
KEN,Kenya,91.0,16.2
ERI,Eritrea,93.0,15.6
BTN,Bhutan,99.0,12.7
GEO,Georgia,95.0,10.2
MDV,Maldives,99.0,9.5
UGA,Uganda,93.0,8.2
RWA,Rwanda,96.0,7.7
LSO,Lesotho,90.0,7.4
IRN,Iran (Islamic Republic of),99.0,7.2
GBR,United Kingdom of Great Britain and Northern Ireland,90.0,7.2
CHE,Switzerland,95.0,5.9
BEL,Belgium,96.0,5.7
OMN,Oman,99.0,5.0
DZA,Algeria,99.0,4.4
EGY,Egypt,96.0,2.3
BRN,Brunei Darussalam,97.0,2.2
BHR,Bahrain,99.0,1.9
FRA,France,95.0,1.8
UKR,Ukraine,92.0,1.7
BGD,Bangladesh,97.0,1.6
DNK,Denmark,95.0,1.5
KWT,Kuwait,99.0,1.2
SVK,Slovakia,94.0,1.1
AUS,Australia,91.0,1.0
SWE,Sweden,93.0,1.0
POL,Poland,91.0,0.9
THA,Thailand,93.0,0.9
DEU,Germany,97.0,0.9
HRV,Croatia,90.0,0.8
TUN,Tunisia,96.0,0.8
LVA,Latvia,96.0,0.5
SVN,Slovenia,95.0,0.5
CHN,China,97.0,0.4
NOR,Norway,96.0,0.4
ESP,Spain,96.0,0.3
CAN,Canada,92.0,0.3
FIN,Finland,94.0,0.2
CRI,Costa Rica,93.0,0.2
KOR,Republic of Korea,97.0,0.1
HUN,Hungary,99.0,0.1
CHL,Chile,94.0,0.1
SYC,Seychelles,93.0,0.0
BGR,Bulgaria,92.0,0.0
BLZ,Belize,93.0,0.0
JAM,Jamaica,93.0,0.0
TTO,Trinidad and Tobago,90.0,0.0
ISL,Iceland,91.0,0.0
COL,Colombia,93.0,0.0
DOM,Dominican Republic,94.0,0.0
MUS,Mauritius,96.0,0.0
MNG,Mongolia,96.0,0.0
URY,Uruguay,96.0,0.0
PLW,Palau,96.0,0.0
KNA,Saint Kitts and Nevis,95.0,0.0
MLT,Malta,95.0,0.0
GUY,Guyana,95.0,0.0
CPV,Cabo Verde,95.0,0.0
ATG,Antigua and Barbuda,94.0,0.0
GRC,Greece,97.0,0.0
PRT,Portugal,98.0,0.0
LUX,Luxembourg,99.0,0.0
CUB,Cuba,99.0,0.0
AND,Andorra,99.0,0.0
SLV,El Salvador,99.0,0.0
TKM,Turkmenistan,99.0,0.0
VCT,Saint Vincent and the Grenadines,90.0,
USA,United States of America,92.0,
JPN,Japan,94.0,
JOR,Jordan,95.0,
ITA,Italy,95.0,
SGP,Singapore,97.0,
TUV,Tuvalu,98.0,
FJI,Fiji,99.0,
NIU,Niue,99.0,
