CODE,NAME,MCV1_COVERAGE_2023
MNE,Montenegro,24.0
PRK,Democratic People's Republic of Korea,28.0
CAF,Central African Republic,41.0
YEM,Yemen,45.0
SOM,Somalia,46.0
GIN,Guinea,47.0
AGO,Angola,50.0
MDG,Madagascar,51.0
SDN,Sudan,51.0
BEN,Benin,52.0
COD,Democratic Republic of the Congo,52.0
PNG,Papua New Guinea,52.0
AFG,Afghanistan,55.0
BIH,Bosnia and Herzegovina,55.0
NGA,Nigeria,60.0
ETH,Ethiopia,61.0
GNQ,Equatorial Guinea,61.0
TCD,Chad,63.0
MOZ,Mozambique,65.0
HTI,Haiti,65.0
COG,Congo,65.0
GAB,Gabon,66.0
BOL,Bolivia (Plurinational State of),68.0
SLB,Solomon Islands,68.0
VEN,Venezuela (Bolivarian Republic of),68.0
CIV,Côte d'Ivoire,70.0
COM,Comoros,70.0
VUT,Vanuatu,70.0
SUR,Suriname,71.0
CMR,Cameroon,71.0
GNB,Guinea-Bissau,72.0
TLS,Timor-Leste,72.0
TGO,Togo,72.0
SSD,South Sudan,72.0
LBY,Libya,73.0
LBN,Lebanon,73.0
MKD,North Macedonia,73.0
MLI,Mali,73.0
SYR,Syrian Arab Republic,74.0
ECU,Ecuador,74.0
MMR,Myanmar,74.0
SEN,Senegal,76.0
DJI,Djibouti,76.0
MEX,Mexico,76.0
HND,Honduras,77.0
PAN,Panama,78.0
ROU,Romania,78.0
KIR,Kiribati,79.0
KHM,Cambodia,79.0
GMB,Gambia,80.0
LAO,Lao People's Democratic Republic,80.0
NER,Niger,80.0
ZAF,South Africa,80.0
ARG,Argentina,80.0
PHL,Philippines,81.0
CYP,Cyprus,82.0
VNM,Viet Nam,82.0
LBR,Liberia,82.0
IDN,Indonesia,82.0
GRD,Grenada,82.0
ALB,Albania,83.0
PRY,Paraguay,83.0
PER,Peru,84.0
COK,Cook Islands,84.0
SRB,Serbia,84.0
PAK,Pakistan,84.0
NIC,Nicaragua,85.0
MDA,Republic of Moldova,85.0
